=========================UL=========================
datettime              UL-Tput   UL-RbNum UL-MCS UL-Bler UL-nonWPuschBler
20230213.180310.897412 0.000092 1.3 16.0 1.0 66.7 
20230213.180320.897560 0.000289 2.5 9.0 0.0 0.0 
20230213.180330.897697 0.000246 4.0 9.0 0.0 0.0 
20230213.180400.898125 0.000079 6.0 9.0 0.0 0.0 
20230213.180410.898261 0.000536 3.4 9.0 0.0 0.0 
20230213.180420.898434 107.356186 96.4 25.0 0.0 0.0 
20230213.180430.898602 333.991669 198.0 26.0 0.0 0.0 
20230213.180440.898720 334.072327 198.0 26.0 0.0 0.0 
20230213.180450.898863 331.203796 198.0 26.0 0.5 0.5 
20230213.180500.899000 335.550293 198.0 26.0 0.0 0.0 
20230213.180510.899136 185.857452 142.8 26.0 0.0 0.0 
20230213.180520.899284 333.319519 198.0 26.0 0.0 0.0 
20230213.180530.899424 335.869751 198.0 26.0 0.0 0.0 
20230213.180540.899549 224.815521 197.8 26.0 0.0 0.0 
20230213.180550.899708 335.635498 198.0 26.0 0.0 0.0 
20230213.180600.899849 334.172272 198.0 26.0 0.0 0.0 
20230213.180610.899984 333.745911 198.0 26.0 0.0 0.0 
20230213.180620.900129 334.974976 198.0 26.0 0.0 0.0 
20230213.180630.900270 334.238495 198.0 26.0 0.0 0.0 
20230213.180640.900405 335.211731 198.0 26.0 0.0 0.0 
20230213.180650.900553 333.555115 198.0 26.0 0.1 0.1 
20230213.180700.900698 335.002502 198.0 26.0 0.0 0.0 
20230213.180710.900841 333.350037 198.0 26.0 0.0 0.0 
20230213.180720.900972 335.856384 198.0 26.0 0.0 0.0 
20230213.180730.901113 333.660187 198.0 26.0 0.0 0.0 
20230213.180740.901259 333.824341 198.0 26.0 0.0 0.0 
20230213.180750.901398 335.718597 198.0 26.0 0.0 0.0 
20230213.180800.901538 334.316101 198.0 26.0 0.0 0.0 
20230213.180810.901684 334.602844 198.0 26.0 0.0 0.0 
20230213.180820.901827 334.290527 198.0 26.0 0.1 0.1 
20230213.180830.901973 335.227966 198.0 26.0 0.0 0.0 
20230213.180840.902097 333.354187 198.0 26.0 0.0 0.0 
20230213.180850.902246 334.859802 198.0 26.0 0.0 0.0 
20230213.180900.902383 335.053528 198.0 26.0 0.0 0.0 
20230213.180910.902523 334.706726 198.0 26.0 0.0 0.0 
20230213.180920.902662 333.126740 198.0 26.0 0.0 0.0 
20230213.180930.902803 335.905334 198.0 26.0 0.0 0.0 
20230213.180940.902943 331.622070 198.0 26.0 0.1 0.1 
