datettime              Tput   RbNum MCS PdschBler nonWPdschBler
20221018.170157.410436 0.100514 1.0 26.0 0.0 0.0 
20221018.170157.410447 0.088630 2.7 15.6 0.2 1.0 
20221018.170207.410544 0.105793 1.1 26.0 0.0 0.0 
20221018.170207.410554 0.000942 3.6 7.6 61.0 7.9 
20221018.170207.410567 0.107476 3.1 14.1 1.8 0.2 
20221018.170207.410589 0.130651 2.5 17.0 1.3 0.0 
20221018.170207.410601 0.109318 1.1 26.0 0.0 0.0 
20221018.170207.410612 0.117290 1.4 26.0 0.0 1.6 
20221018.170207.410623 0.117953 1.3 24.9 6.3 5.3 
20221018.170217.410716 0.113447 1.7 24.7 10.5 10.4 
20221018.170217.410728 0.029047 35.4 1.4 0.5 0.4 
20221018.170217.410741 0.108984 1.2 25.7 1.0 1.6 
20221018.170217.410752 0.105740 1.2 26.0 0.6 4.1 
20221018.170217.410763 0.113165 1.3 26.0 1.1 1.6 
20221018.170217.410774 0.126134 1.4 26.0 2.5 1.1 
20221018.170217.410786 0.107835 1.2 25.8 7.5 8.5 
20221018.170227.410891 0.102316 2.3 14.5 2.5 8.2 
20221018.170227.410903 0.005524 4.2 5.1 0.0 0.0 
20221018.170227.410917 0.113757 1.2 26.0 0.6 0.0 
20221018.170227.410929 0.110526 1.4 23.3 6.6 3.8 
20221018.170227.410941 0.113344 1.9 18.4 13.7 13.8 
20221018.170227.410953 0.109099 1.2 26.0 0.0 0.0 
20221018.170227.410964 0.116464 1.3 26.0 2.6 1.6 
20221018.170237.411044 0.012889 1.6 14.2 38.5 19.7 
20221018.170237.411055 0.006190 3.1 7.0 0.0 0.0 
20221018.170237.411067 0.116299 1.3 26.0 1.5 1.6 
20221018.170237.411081 0.135303 1.3 26.0 0.5 0.5 
20221018.170237.411093 0.106074 1.7 17.9 4.1 4.0 
20221018.170237.411104 0.106852 1.2 26.0 3.4 3.2 
20221018.170237.411115 0.118311 1.2 25.9 4.0 3.9 
20221018.170247.411215 0.000249 2.6 8.0 0.0 40.0 
20221018.170247.411225 0.005582 3.0 8.3 0.0 0.0 
20221018.170247.411237 0.063652 1.1 26.0 0.2 0.2 
20221018.170247.411247 0.057210 1.1 26.0 0.0 0.0 
20221018.170247.411259 0.075914 1.1 26.0 0.7 0.6 
20221018.170247.411268 0.041457 1.3 26.0 0.0 0.0 
20221018.170247.411277 0.050059 1.2 26.0 0.0 0.6 
20221018.170257.411365 0.000159 2.0 8.0 0.0 50.0 
20221018.170257.411375 0.037129 4.0 11.5 0.0 0.0 
20221018.170257.411385 0.000159 1.0 26.0 0.0 50.0 
20221018.170257.411395 0.000238 1.0 26.0 0.0 50.0 
20221018.170257.411403 0.000079 1.0 26.0 0.0 50.0 
20221018.170257.411412 0.000317 1.0 26.0 0.0 50.0 
20221018.170257.411420 0.000166 1.0 26.0 0.0 62.5 
20221018.170307.411544 0.000159 2.0 8.0 0.0 50.0 
20221018.170307.411557 0.030650 2.8 15.7 0.0 0.0 
20221018.170307.411568 0.000079 1.0 26.0 0.0 50.0 
20221018.170307.411578 0.000238 1.0 26.0 0.0 50.0 
20221018.170317.411705 0.013134 2.9 19.0 0.0 0.0 
20221018.170327.411873 0.000159 1.0 26.0 0.0 50.0 
20221018.170327.411883 0.000234 1.0 26.0 0.0 40.0 
20221018.170327.411893 0.000104 1.4 9.0 0.0 36.4 
20221018.170337.412043 0.000159 2.0 8.0 0.0 50.0 
20221018.170337.412062 0.000159 1.0 26.0 0.0 50.0 
20221018.170337.412071 0.000238 1.0 26.0 0.0 50.0 
20221018.170337.412079 0.000079 1.0 26.0 0.0 50.0 
20221018.170337.412087 0.000317 1.0 26.0 0.0 50.0 
20221018.170337.412096 0.000159 1.0 26.0 10.0 50.0 
20221018.170337.412105 0.000235 2.8 9.0 0.0 0.0 
20221018.170347.412213 0.000159 2.0 8.0 0.0 50.0 
20221018.170347.412225 0.000079 1.0 26.0 0.0 50.0 
20221018.170347.412234 0.000238 1.0 26.0 0.0 50.0 
20221018.170357.412382 0.001752 1.1 9.4 1.0 5.2 
20221018.170357.412391 0.003041 2.1 9.0 0.0 0.0 
20221018.170407.412550 0.000159 1.0 26.0 0.0 50.0 
20221018.170407.412561 0.000242 1.0 26.0 0.0 55.6 
20221018.170407.412572 0.044073 2.4 13.9 0.3 0.3 
20221018.170417.412720 0.000195 1.2 8.0 0.0 25.0 
20221018.170417.412730 0.000159 1.0 26.0 0.0 50.0 
20221018.170417.412739 0.000238 1.0 26.0 0.0 50.0 
20221018.170417.412747 0.000079 1.0 26.0 0.0 50.0 
20221018.170417.412756 0.000317 1.0 26.0 0.0 50.0 
20221018.170417.412764 0.000159 1.0 26.0 0.0 50.0 
20221018.170417.412775 0.067581 1.8 23.2 0.0 0.0 
20221018.170427.412888 0.000159 2.0 8.0 0.0 50.0 
20221018.170427.412901 0.000087 1.0 26.0 0.0 66.7 
20221018.170427.412911 0.000238 1.0 26.0 10.0 50.0 
20221018.170437.413056 0.000021 1.0 26.0 0.0 71.4 
20221018.170437.413066 0.000091 1.7 9.0 0.0 0.0 
20221018.170447.413227 0.000195 1.0 26.0 0.0 20.0 
20221018.170447.413237 0.000242 1.0 26.0 0.0 55.6 
20221018.170447.413247 0.000787 1.2 9.0 0.0 9.8 
20221018.170447.413256 0.000909 1.3 9.0 0.0 0.0 
20221018.170457.413396 0.000159 2.0 8.0 0.0 50.0 
20221018.170457.413409 0.000203 1.0 26.0 0.0 66.7 
20221018.170457.413419 0.000314 1.0 26.0 0.0 42.9 
20221018.170457.413428 0.000079 1.0 26.0 0.0 50.0 
20221018.170457.413437 0.000327 1.0 26.0 0.0 44.4 
20221018.170457.413445 0.000159 1.0 26.0 0.0 50.0 
20221018.170457.413455 0.001562 1.1 9.5 2.0 2.6 
20221018.170507.413567 0.000159 1.7 8.0 0.0 50.0 
20221018.170507.413581 0.000087 1.0 26.0 0.0 66.7 
20221018.170507.413590 0.000238 1.0 26.0 0.0 50.0 
20221018.170507.413600 0.000238 1.0 11.0 0.0 21.1 
20221018.170507.413610 0.000449 1.1 9.0 0.0 18.6 
20221018.170507.413618 0.000914 1.3 9.0 0.0 2.8 
20221018.170517.413719 0.002541 1.2 10.2 1.0 4.2 
20221018.170517.413729 0.006094 2.0 9.0 0.0 0.0 
20221018.170527.413901 0.000280 1.0 26.0 0.0 42.9 
20221018.170527.413911 0.000238 1.0 26.0 0.0 62.5 
20221018.170527.413921 0.000116 1.0 9.0 1.0 36.4 
20221018.170527.413930 0.000684 2.1 9.0 0.0 22.2 
20221018.170537.414069 0.000166 1.8 8.0 0.0 62.5 
20221018.170537.414080 0.000190 1.0 26.0 0.0 71.4 
20221018.170537.414091 0.000321 1.0 26.0 0.0 82.4 
20221018.170537.414100 0.000079 1.0 26.0 0.0 50.0 
20221018.170537.414109 0.000275 1.0 26.0 0.0 36.4 
20221018.170537.414118 0.000159 1.0 26.0 0.0 50.0 
20221018.170537.414129 0.068636 4.4 11.2 1.7 0.3 
20221018.170547.414243 0.000234 2.0 8.0 0.0 40.0 
20221018.170547.414253 0.000163 1.0 26.0 0.0 20.0 
20221018.170547.414262 0.000238 1.0 26.0 0.0 50.0 
20221018.170547.414271 0.000089 1.0 26.0 0.0 0.0 
20221018.170557.414408 0.060192 1.8 21.1 0.2 0.2 
20221018.170607.414577 0.000253 1.0 26.0 0.0 28.6 
20221018.170607.414588 0.000159 1.0 26.0 0.0 50.0 
20221018.170607.414602 0.070515 2.1 19.3 15.0 13.4 
20221018.170617.414743 0.000159 2.0 8.0 0.0 50.0 
20221018.170617.414755 0.000186 1.0 26.0 0.0 55.6 
20221018.170617.414765 0.000329 1.0 26.0 0.0 81.8 
20221018.170617.414774 0.000079 1.0 26.0 0.0 50.0 
20221018.170617.414782 0.000317 1.0 26.0 0.0 50.0 
20221018.170617.414790 0.000159 1.0 26.0 0.0 50.0 
20221018.170617.414801 0.062908 1.7 20.6 5.8 6.3 
20221018.170627.414925 0.000177 1.4 8.0 0.0 28.6 
20221018.170627.414939 0.000079 1.0 26.0 0.0 50.0 
20221018.170627.414950 0.000238 1.0 26.0 0.0 50.0 
20221018.170627.414959 0.000964 1.0 23.0 0.0 1.9 
20221018.170637.415079 0.000360 1.5 9.0 0.0 7.7 
20221018.170637.415093 0.000238 1.0 25.8 1.0 20.0 
20221018.170637.415103 0.000662 1.2 9.0 0.0 10.3 
20221018.170647.415263 0.091112 1.7 18.5 0.2 0.1 
20221018.170647.415275 0.000177 1.0 23.1 50.0 28.6 
20221018.170647.415285 0.000242 1.0 26.0 0.0 55.6 
20221018.170657.415420 0.101149 1.0 26.0 0.0 0.0 
20221018.170657.415431 0.000159 2.0 8.0 0.0 50.0 
20221018.170657.415443 0.070677 1.9 20.6 1.0 0.7 
20221018.170657.415452 0.000246 1.0 26.0 66.0 87.5 
20221018.170657.415462 0.000079 1.0 26.0 0.0 50.0 
20221018.170657.415470 0.000317 1.0 24.5 26.0 50.0 
20221018.170657.415479 0.000159 1.0 26.0 0.0 50.0 
20221018.170707.415588 0.101554 1.0 26.0 0.0 0.0 
20221018.170707.415599 0.000159 1.7 8.0 0.0 50.0 
20221018.170707.415613 0.108813 1.2 26.0 0.0 0.0 
20221018.170707.415622 0.000163 1.6 11.0 0.0 20.0 
20221018.170707.415631 0.000238 1.0 26.0 0.0 50.0 
20221018.170707.415642 0.055939 1.6 24.6 1.5 0.3 
20221018.170717.415769 0.109375 1.3 26.0 0.0 0.0 
20221018.170717.415784 0.112853 1.1 26.0 0.0 0.0 
20221018.170717.415794 0.041145 5.3 11.3 6.0 0.7 
20221018.170717.415806 0.103909 1.1 25.9 2.4 0.1 
20221018.170717.415818 0.108658 1.1 26.0 0.0 0.0 
20221018.170717.415829 0.070915 1.5 24.1 8.5 0.3 
20221018.170727.415935 0.105917 1.2 26.0 0.0 0.0 
20221018.170727.415948 0.112499 18.2 8.7 5.1 0.2 
20221018.170727.415961 0.104616 1.2 26.0 0.0 0.0 
20221018.170727.415973 0.103291 1.5 18.6 7.5 7.2 
20221018.170727.415984 0.099621 1.1 26.0 0.0 0.0 
20221018.170727.415996 0.102757 1.2 26.0 0.0 0.0 
20221018.170727.416006 0.104358 1.2 26.0 0.0 0.0 
20221018.170737.416103 0.122407 1.5 26.0 2.3 2.3 
20221018.170737.416115 0.103945 1.2 24.7 0.0 0.0 
20221018.170737.416129 0.120834 1.6 26.0 4.0 3.5 
20221018.170737.416142 0.105665 1.5 19.5 12.4 13.1 
20221018.170737.416153 0.102027 1.1 26.0 0.0 0.0 
20221018.170737.416165 0.109280 1.2 26.0 0.0 0.0 
20221018.170737.416176 0.106707 1.2 26.0 0.0 0.0 
20221018.170747.416273 0.107451 1.2 26.0 0.0 0.0 
20221018.170747.416286 0.103732 1.2 26.0 0.0 0.0 
20221018.170747.416298 0.104408 1.2 26.0 0.0 0.0 
20221018.170747.416312 0.106578 1.6 17.3 9.0 8.5 
20221018.170747.416324 0.101122 1.1 26.0 0.0 0.0 
20221018.170747.416335 0.103808 1.2 26.0 0.0 0.0 
20221018.170747.416346 0.130432 1.5 26.0 1.5 1.7 
20221018.170757.416435 0.112291 1.3 26.0 0.0 0.0 
20221018.170757.416448 0.102276 1.2 26.0 0.0 0.0 
20221018.170757.416461 0.108635 1.2 26.0 0.0 0.0 
